place_id,name,halal_status,url,outlet_label,outlet_address,scraped_at,postal_code,latitude,longitude
1706,Alhambra Satay,Halal - Muslim Owned,https://www.halaltag.com/place/1706,Geylang Serai Market and Food Centre,"1 Geylang Serai, #02-145,  Singapore 402001",2025-09-13T21:01:37.225237,402001,,
1706,Alhambra Satay,Halal - Muslim Owned,https://www.halaltag.com/place/1706,Lau Pa Sat Satay Street,"18 Raffles Quay , Stall 3,  Singapore 048582",2025-09-13T21:01:37.225237,048582,,
760,Apam Balik Power,Halal - Muslim Owned,https://www.halaltag.com/place/760,,,2025-09-13T21:01:37.968470,,,
2561,Al Nabawi Cafe,Halal - Muslim Owned,https://www.halaltag.com/place/2561,Woodlands (Others),"Blk 19 Marsiling Lane, Singapore 730019",2025-09-13T21:01:38.621916,730019,,
1502,Adiman Seafood and Satay Specialist,Halal - Muslim Owned,https://www.halaltag.com/place/1502,East Coast Lagoon Food Village,"1220 East Coast Parkway, Stall 56,  Singapore 468960",2025-09-13T21:01:39.270181,468960,,
2394,Al Zamira,Halal - Muslim Owned,https://www.halaltag.com/place/2394,Ang Mo Kio Central,"724 Ang Mo Kio Ave 6, Singapore 560724",2025-09-13T21:01:39.933933,560724,,
249,Al-Amaan,Halal - Muslim Owned,https://www.halaltag.com/place/249,Clementi Road/ Pasir Panjang (Near NUS),"12 Clementi Road, Singapore 129742",2025-09-13T21:01:40.598659,129742,,
2469,Aiman Seafood BBQ,Halal Certified,https://www.halaltag.com/place/2469,,,2025-09-13T21:01:41.272935,,,
2004,Ali's Prata,Halal - Muslim Owned,https://www.halaltag.com/place/2004,Bedok Reservoir,"Blk 138 Bedok Reservoir Road, Singapore 470138",2025-09-13T21:01:41.945579,470138,,
2004,Ali's Prata,Halal - Muslim Owned,https://www.halaltag.com/place/2004,,"Blk 304, Ubi Ave 1, #01-101,  Singapore 400304",2025-09-13T21:01:41.945579,400304,,
2024,An Nur Shentonway Famous,Halal - Muslim Owned,https://www.halaltag.com/place/2024,Hotel 81 Kovan,"768 Upper Serangoon Road, Singapore 534636",2025-09-13T21:01:42.678392,534636,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Admiralty Place,"677 Woodlands Avenue 6, #02-01,  Singapore 730677",2025-09-13T21:01:43.386870,730677,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,AMK Hub,"53 Ang Mo Kio Avenue 3, Singapore 569933",2025-09-13T21:01:43.386870,569933,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Bird Paradise,"20 Mandai Lake Rd , Singapore 729825",2025-09-13T21:01:43.386870,729825,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Canberra Plaza,"133 Canberra View, #01-04,  Singapore 750133",2025-09-13T21:01:43.386870,750133,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Jewel Changi Airport,"Under renovation 78 Airport Boulevard, #B2-209,  Singapore 819666",2025-09-13T21:01:43.386870,819666,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Jurong Point Shopping Mall,"1 Jurong West Central 2, 03-42 (JP2),  Singapore 648886",2025-09-13T21:01:43.386870,648886,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,Northshore Plaza,"407 Northshore Drive, #01-01 (Plaza 2),  Singapore 820407",2025-09-13T21:01:43.386870,820407,,
1080,A&W,Halal Certified,https://www.halaltag.com/place/1080,The Woodleigh Mall,"11 Bidadari Park Dr, #01-40,  Singapore 367803",2025-09-13T21:01:43.386870,367803,,
1448,Al-Maa'idah Eating House,Halal - Muslim Owned,https://www.halaltag.com/place/1448,MacPherson,"179 Macpherson Road, Singapore 348539 Contact: 9669 4923",2025-09-13T21:01:44.062513,348539,,
583,Allauddin's Briyani,Halal - Muslim Owned,https://www.halaltag.com/place/583,Ayer Rajah Food Centre,"503 West Coast Drive, #01-29,  Singapore 120503",2025-09-13T21:01:44.769540,120503,,
583,Allauddin's Briyani,Halal - Muslim Owned,https://www.halaltag.com/place/583,Redhill Hawker Centre,"Blk 85 Redhill Lane, #01-46,  Singapore 150085",2025-09-13T21:01:44.769540,150085,,
583,Allauddin's Briyani,Halal - Muslim Owned,https://www.halaltag.com/place/583,Tekka Centre,"665 Buffalo Road, #01-232,  Singapore 210665",2025-09-13T21:01:44.769540,210665,,
583,Allauddin's Briyani,Halal - Muslim Owned,https://www.halaltag.com/place/583,Toa Payoh Lorong 8 Market & Hawker Centre,"210 Lorong 8 Toa Payoh, #01-79,  Singapore 310210",2025-09-13T21:01:44.769540,310210,,
1847,Alham,Halal - Muslim Owned,https://www.halaltag.com/place/1847,Eunos Crescent Market and Food Centre,"Blk 4A Eunos Crescent, #01-01,  Singapore 402004",2025-09-13T21:01:45.426466,402004,,
218,Afghanistan Family Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/218,Tampines East (N2),"201E Tampines Street 23 , #01-56,  Singapore 527201",2025-09-13T21:01:46.105101,527201,,
1633,APSN Cafe for All,Halal Certified,https://www.halaltag.com/place/1633,Kembangan-Chai Chee Community Hub,"11 Jalan Ubi, #01-31 (Blk 4),  Singapore 409074",2025-09-13T21:01:46.756924,409074,,
2464,Ace Western,Halal Certified,https://www.halaltag.com/place/2464,ITE College West,"1 Choa Chu Kang Grove, (Blk 1 Level 3),  Singapore 688236",2025-09-13T21:01:47.397402,688236,,
35,Arnold's Fried Chicken,Halal Certified,https://www.halaltag.com/place/35,Bedok Central,"Blk 215, Bedok North St 1, Singapore 460215",2025-09-13T21:01:48.081936,460215,,
35,Arnold's Fried Chicken,Halal Certified,https://www.halaltag.com/place/35,City Plaza,"810 Geylang Rd , #02-99,  Singapore 409286 Contact: 6746 2372",2025-09-13T21:01:48.081936,409286,,
35,Arnold's Fried Chicken,Halal Certified,https://www.halaltag.com/place/35,Hougang Green Shopping Mall,"21 Hougang Street 51, #01-49,  Singapore 538719 Contact: 6386 9015",2025-09-13T21:01:48.081936,538719,,
35,Arnold's Fried Chicken,Halal Certified,https://www.halaltag.com/place/35,Northpoint City,"930 Yishun Ave 2, #01-04,  Singapore 769098 Contact: 6757 7732",2025-09-13T21:01:48.081936,769098,,
35,Arnold's Fried Chicken,Halal Certified,https://www.halaltag.com/place/35,Tampines West Community Club,"5 Tampines Avenue 3, #02-07,  Singapore 529705",2025-09-13T21:01:48.081936,529705,,
1976,Al-Rahaman Muslim Food,Halal - Muslim Owned,https://www.halaltag.com/place/1976,Haig Road Food Centre,"14 Haig Rd, #01-25.,  Singapore 430014",2025-09-13T21:01:48.736951,430014,,
2335,Arabica Kebab,Halal - Muslim Owned,https://www.halaltag.com/place/2335,Marsiling Mall,"4 Woodlands St 12, Singapore 738623",2025-09-13T21:01:49.372548,738623,,
2080,Al-Ameen @Eunos,Halal - Muslim Owned,https://www.halaltag.com/place/2080,Eunos Crescent Market and Food Centre,"Blk 4A Eunos Crescent, #01-22,  Singapore 402004",2025-09-13T21:01:50.027389,402004,,
1319,Aroy Viet Thai Cuisine,Halal Certified,https://www.halaltag.com/place/1319,Lot One,"Inside FoodJunction.21 Choa Chu Kang Avenue 4, #04-15/16,  Singapore 689812",2025-09-13T21:01:50.672441,689812,,
248,AlSalam Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/248,East Coast (Others),"425 East Coast Road, Singapore 429012",2025-09-13T21:01:51.353625,429012,,
248,AlSalam Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/248,Near Masjid Kassim,"457 Changi Road, Singapore 419881",2025-09-13T21:01:51.353625,419881,,
248,AlSalam Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/248,Tampines East (St 43/44/45),"Blk 472 Tampines St 44, #01-49,  Singapore 520472",2025-09-13T21:01:51.353625,520472,,
248,AlSalam Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/248,Tampines West,"Blk 801, Tampines Ave 1, Singapore 520801",2025-09-13T21:01:51.353625,520801,,
1398,Asap & Co,Halal - Muslim Owned,https://www.halaltag.com/place/1398,Telok Ayer Shop Houses,"70 Telok Ayer St, #01-01,  Singapore 048458",2025-09-13T21:01:52.109012,048458,,
95,Asian Market Cafe,Halal Certified,https://www.halaltag.com/place/95,Fairmont Hotel Singapore,"80 Bras Basah Road , Level 2,  Singapore 189560 Contact: 6339 7777",2025-09-13T21:01:52.747587,189560,,
1297,Al Hadi,Halal - Muslim Owned,https://www.halaltag.com/place/1297,Haig Road Food Centre,"14 Haig Rd, #01-23,  Singapore 430014",2025-09-13T21:01:53.410547,430014,,
1304,Abang by Pondok Abang,Halal - Muslim Owned,https://www.halaltag.com/place/1304,Botanic Gardens,"1J Cluny Rd, Singapore 259607",2025-09-13T21:01:54.059885,259607,,
1304,Abang by Pondok Abang,Halal - Muslim Owned,https://www.halaltag.com/place/1304,Clementi Market and Food Centre,"Blk 448 Clementi Ave 3, #01-03,  Singapore 120448",2025-09-13T21:01:54.059885,120448,,
1304,Abang by Pondok Abang,Halal - Muslim Owned,https://www.halaltag.com/place/1304,Kedai Kopi (Yishun),"925 Yishun Central, Singapore 760925",2025-09-13T21:01:54.059885,760925,,
971,Ashraf's Cafe,Halal - Muslim Owned,https://www.halaltag.com/place/971,Fragrance Building,"168 Changi Road, #01-01/02,  Singapore 419730",2025-09-13T21:01:54.738263,419730,,
1514,Aafiyah,Halal - Muslim Owned,https://www.halaltag.com/place/1514,Aljunied (Others),"119 Aljunied Ave 2, Singapore 380119",2025-09-13T21:01:55.374745,380119,,
1207,A-Po Hokkien Mee,Halal Certified,https://www.halaltag.com/place/1207,Century Square,"2 Tampines Central 5, Singapore 529509",2025-09-13T21:01:56.036611,529509,,
1207,A-Po Hokkien Mee,Halal Certified,https://www.halaltag.com/place/1207,Lot One,"21 Choa Chu Kang Avenue 4, #04-16,  Singapore 689812",2025-09-13T21:01:56.036611,689812,,
1805,Adam A Rojak,Halal - Muslim Owned,https://www.halaltag.com/place/1805,Ayer Rajah Food Centre,"503 West Coast Drive, Stall 79,  Singapore 120503",2025-09-13T21:01:56.687974,120503,,
2467,Ah B Bakery,Halal Certified,https://www.halaltag.com/place/2467,Bukit Merah Central,"163 Bukit Merah Central, #02-3599,  Singapore 150163",2025-09-13T21:01:57.358028,150163,,
2467,Ah B Bakery,Halal Certified,https://www.halaltag.com/place/2467,Kedai Kopi (Bukit Batok),"376 Bukit Batok Street 31, Singapore 650376",2025-09-13T21:01:57.358028,650376,,
1276,Adam's Indian Rojak & Mee Goreng,Halal - Muslim Owned,https://www.halaltag.com/place/1276,,,2025-09-13T21:01:58.020608,,,
2006,Ar Rahmaan,Halal - Muslim Owned,https://www.halaltag.com/place/2006,Pasir Ris Central Hawker Centre,"110 Pasir Ris Central , #01-04,  Singapore 519641",2025-09-13T21:01:58.706013,519641,,
1592,Annabella Patisserie,Halal Certified,https://www.halaltag.com/place/1592,Causeway Point,"1 Woodlands Square, #B1-K05,  Singapore 738099",2025-09-13T21:01:59.351129,738099,,
1592,Annabella Patisserie,Halal Certified,https://www.halaltag.com/place/1592,Compass One,"1 Sengkang Square, #01-22,  Singapore 545078",2025-09-13T21:01:59.351129,545078,,
1825,AlNour's Kitchen,Halal - Muslim Owned,https://www.halaltag.com/place/1825,,,2025-09-13T21:02:00.002311,,,
2472,Al Zamira Restaurant,Halal Certified,https://www.halaltag.com/place/2472,,,2025-09-13T21:02:00.650011,,,
2039,Apricus,Halal - Muslim Owned,https://www.halaltag.com/place/2039,Jalan Kayu,"248 Jalan Kayu, , Singapore 799472",2025-09-13T21:02:01.331912,799472,,
1882,Abdul Jalil Muslim Food Stall,Halal - Muslim Owned,https://www.halaltag.com/place/1882,Teban Gardens Food Centre,"Blk 37A, Teban Gardens Road, Singapore 601037",2025-09-13T21:02:02.074794,601037,,
667,Afterwit SG,Halal Certified,https://www.halaltag.com/place/667,Arab Street/ Kampong Glam,"778 North Bridge Road, Singapore 198746 Contact: 6299 3508",2025-09-13T21:02:02.731717,198746,,
2073,Aroma Nasi Lemak,Halal - Muslim Owned,https://www.halaltag.com/place/2073,Eunos Crescent Market and Food Centre,"Blk 4A Eunos Crescent, #01-08,  Singapore 402004",2025-09-13T21:02:03.397972,402004,,
1856,Ashiqa,Halal - Muslim Owned,https://www.halaltag.com/place/1856,Bukit Merah (Others),"118 Depot Lane, Singapore 109754",2025-09-13T21:02:04.055788,109754,,
1705,Arabisk,Halal - Muslim Owned,https://www.halaltag.com/place/1705,Ang Mo Kio (Others),"Blk 608 Ang Ko Kio Ave 5, Singapore 560608",2025-09-13T21:02:04.723175,560608,,
1705,Arabisk,Halal - Muslim Owned,https://www.halaltag.com/place/1705,Bukit Panjang Plaza,"1 Jelebu Road, #01-55,  Singapore 677743",2025-09-13T21:02:04.723175,677743,,
2452,APMA Food,Halal Certified,https://www.halaltag.com/place/2452,Toa Payoh (Others),"107 Lor 1 Toa Payoh, #01-264,  Singapore 310107",2025-09-13T21:02:05.376027,310107,,
1169,Ahmad Spring,Halal - Muslim Owned,https://www.halaltag.com/place/1169,East Coast Lagoon Food Village,"1220 East Coast Parkway, Stall 58,  Singapore 468960",2025-09-13T21:02:06.044113,468960,,
2078,AJ's Corner,Halal - Muslim Owned,https://www.halaltag.com/place/2078,Eunos Crescent Market and Food Centre,"Blk 4A Eunos Crescent, #01-20,  Singapore 402004",2025-09-13T21:02:06.679679,402004,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Bukit Batok (Others),",  #01-247 (Stall 1),  Singapore 650177",2025-09-13T21:02:07.348404,650177,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Bukit Batok (Others),"155 Bukit Batok Street 11, #01-324,  Singapore 650155",2025-09-13T21:02:07.348404,650155,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Bukit Panjang (Others),"635C Senja Road, #01-01 (Stall 8),  Singapore 673635",2025-09-13T21:02:07.348404,673635,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Bukit Panjang (Others),"257 Bangkit Road,  670257",2025-09-13T21:02:07.348404,670257,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,O2 Cafe (Bukit Batok West Ave 4),"Blk 413 Bukit Batok West Ave 4, Singapore 650413",2025-09-13T21:02:07.348404,650413,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Tampines East (St 43/44/45),"Blk 494 Tampines St 45, Singapore 523494",2025-09-13T21:02:07.348404,523494,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Tampines East (St 43/44/45),"Blk 481 Tampines St 44, #01-267,  Singapore 520481",2025-09-13T21:02:07.348404,520481,,
938,Al Madina,Halal Certified,https://www.halaltag.com/place/938,Woodlands (Others),"167 Woodlands Street 11, #01-07 (Stall 2),  Singapore 730167",2025-09-13T21:02:07.348404,730167,,
2167,Al Sarah,Halal - Muslim Owned,https://www.halaltag.com/place/2167,Tristar Complex,"970 Geylang Road, Singapore 423492 Contact: 6348 9319",2025-09-13T21:02:07.996282,423492,,
2014,Al-Makan,Halal - Muslim Owned,https://www.halaltag.com/place/2014,Tampines East (N2),"Blk 201D Tampines Street 21, Singapore 524201",2025-09-13T21:02:08.665573,524201,,
2463,Aasife Biriyani,Halal Certified,https://www.halaltag.com/place/2463,,,2025-09-13T21:02:09.412102,,,
1480,Azizah Hyderabadi Dumm Briyani,Halal - Muslim Owned,https://www.halaltag.com/place/1480,Geylang Serai Market and Food Centre,"1 Geylang Serai, #02-127,  Singapore 402001",2025-09-13T21:02:10.064332,402001,,
1486,Al Majlis Thai Seafood,Halal - Muslim Owned,https://www.halaltag.com/place/1486,Bukit Batok (Others),"Blk 166 Bukit Batok West Ave 8, Singapore 650166",2025-09-13T21:02:10.717370,650166,,
1308,Al Hanif Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/1308,Ghim Moh,"Blk 21 Ghim Moh Road, Singapore 270021",2025-09-13T21:02:11.404644,270021,,
2103,Avocadoria,Halal - Muslim Owned,https://www.halaltag.com/place/2103,AMK Hub,"53 Ang Mo Kio Avenue 3, #B2-23,  Singapore 569933",2025-09-13T21:02:12.054778,569933,,
2103,Avocadoria,Halal - Muslim Owned,https://www.halaltag.com/place/2103,Bedok Mall,"311 New Upper Changi Road, #B2-09,  Singapore 467360",2025-09-13T21:02:12.054778,467360,,
2374,Anderson Cafeteria,Halal Certified,https://www.halaltag.com/place/2374,Tuas Checkpoint,"501 Jalan Ahmad Ibrahim, Singapore 639937",2025-09-13T21:02:12.708072,639937,,
1517,Ariff's Restaurant,Halal Certified,https://www.halaltag.com/place/1517,Geylang (Others),"Blk 71 Kallang Bahru, #01-529B,  Singapore 330071",2025-09-13T21:02:13.368616,330071,,
1652,Ayu and Nasi Padang,Halal - Muslim Owned,https://www.halaltag.com/place/1652,Bukit Panjang Food Centre,"2 Bukit Panjang Ring Rd, #01-27,  Singapore 679947",2025-09-13T21:02:14.318089,679947,,
1347,Al Hayat,Halal - Muslim Owned,https://www.halaltag.com/place/1347,Bukit Batok (Others),"Blk 233 Bukit Batok East Ave 5, #01-53,  Singapore 650233",2025-09-13T21:02:14.975013,650233,,
1347,Al Hayat,Halal - Muslim Owned,https://www.halaltag.com/place/1347,Hougang (Others),"Blk 322 Hougang Avenue 5, #01-01,  Singapore 530322",2025-09-13T21:02:14.975013,530322,,
1347,Al Hayat,Halal - Muslim Owned,https://www.halaltag.com/place/1347,Serangoon (Others),"Blk 214, Serangoon Avenue 4, #01-88,  Singapore 550214",2025-09-13T21:02:14.975013,550214,,
1347,Al Hayat,Halal - Muslim Owned,https://www.halaltag.com/place/1347,Tampines East (St 43/44/45),"494 Tampines Street 45, Singapore 523494",2025-09-13T21:02:14.975013,523494,,
269,Al-Ameen,Halal - Muslim Owned,https://www.halaltag.com/place/269,Bamboo Grove Park,"5 Chu Lin Road, Singapore 669893 Contact: 67646955",2025-09-13T21:02:15.714837,669893,,
269,Al-Ameen,Halal - Muslim Owned,https://www.halaltag.com/place/269,Cheong Chin Nam,"2, 3, 4 Cheong Chin Nam Road, Singapore 599729 Contact: 6462 1996",2025-09-13T21:02:15.714837,599729,,
269,Al-Ameen,Halal - Muslim Owned,https://www.halaltag.com/place/269,Okamoto,"35 Woodlands Ave 5, Singapore 739257",2025-09-13T21:02:15.714837,739257,,
269,Al-Ameen,Halal - Muslim Owned,https://www.halaltag.com/place/269,Yishun (Others),"Blk 343 Yishun Ave 11, Singapore 760343",2025-09-13T21:02:15.714837,760343,,
251,Abu Mubarak Mandi Rice,Halal - Muslim Owned,https://www.halaltag.com/place/251,Arab Street/ Kampong Glam,"737 North Bridge Road, Singapore 198705",2025-09-13T21:02:16.385421,198705,,
251,Abu Mubarak Mandi Rice,Halal - Muslim Owned,https://www.halaltag.com/place/251,Tampines Junction,"300 Tampines Avenue 5, Singapore 529653",2025-09-13T21:02:16.385421,529653,,
2184,Adinda by Gerai Nenek Obek,Halal - Muslim Owned,https://www.halaltag.com/place/2184,Pasir Ris Mall,"7 Pasir Ris Central, #B1-K20,  Singapore 519612",2025-09-13T21:02:17.052194,519612,,
2245,Add More Mala Hot Pot,Halal Certified,https://www.halaltag.com/place/2245,Bukit Canberra Hawker Centre,"21 Canberra Link, #01-49,  Singapore 756973",2025-09-13T21:02:17.696581,756973,,
1726,Anak Medan Nasi Padang,Halal - Muslim Owned,https://www.halaltag.com/place/1726,Tuas Village Eating House,"10 Tuas Avenue 3 , Singapore 639409",2025-09-13T21:02:18.370187,639409,,
1107,Al Arafa Cuisine,Halal - Muslim Owned,https://www.halaltag.com/place/1107,Little India Shophouses,"81 Syed Alwi Road, Singapore 207660",2025-09-13T21:02:19.006625,207660,,
1967,Anjappar,Halal Certified,https://www.halaltag.com/place/1967,Changi Airport Terminal 1 (T1),"80 Airport Boulevard, #03-20,  Singapore 819642",2025-09-13T21:02:19.679078,819642,,
1967,Anjappar,Halal Certified,https://www.halaltag.com/place/1967,Little India Shophouses,76 Racecourse Road,2025-09-13T21:02:19.679078,,,
1967,Anjappar,Halal Certified,https://www.halaltag.com/place/1967,Little India Shophouses,"102 Syed Alwi Road, Singapore 207678",2025-09-13T21:02:19.679078,207678,,
1967,Anjappar,Halal Certified,https://www.halaltag.com/place/1967,Westgate,"3 Gateway Drive, #04-08,  Singapore 608532",2025-09-13T21:02:19.679078,608532,,
1128,As-Shifaa Cafe,Halal - Muslim Owned,https://www.halaltag.com/place/1128,,,2025-09-13T21:02:20.426564,,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,AMK Hub,"53 Ang Mo Kio Avenue 3, #01-09,  Singapore 569933",2025-09-13T21:02:21.103431,569933,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Compass One,"1 Sengkang Square, #B1-18,  Singapore 545078",2025-09-13T21:02:21.103431,545078,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Hillion Mall,"17 Petir Road, #B2-31,  Singapore 678278",2025-09-13T21:02:21.103431,678278,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,,"50 Jurong Gateway Road, #B1-32,  Singapore 608549",2025-09-13T21:02:21.103431,608549,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Jewel Changi Airport,"78 Airport Boulevard, #B2-272,  Singapore 819666",2025-09-13T21:02:21.103431,819666,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Jurong Point Shopping Mall,"1 Jurong West Central 2, #01-K2,  Singapore 648886",2025-09-13T21:02:21.103431,648886,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,NEX Mall,"23 Serangoon Central, #03-K10,  Singapore 556083",2025-09-13T21:02:21.103431,556083,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Northpoint City,"930 Yishun Ave 2, #B1-25 (North Wing),  Singapore 769098",2025-09-13T21:02:21.103431,769098,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Parkway Parade,"80 Marine Parade Road, #B1-08,  Singapore 449269",2025-09-13T21:02:21.103431,449269,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Paya Lebar Quarter Mall (PLQ),"10 Paya Lebar Road, #B2-K7,  Singapore 409057",2025-09-13T21:02:21.103431,409057,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Plaza Singapura,"68 Orchard Road, #B2-37,  Singapore 238839",2025-09-13T21:02:21.103431,238839,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,The Paragon,"290 Orchard Road, #B1-K4,  Singapore 238859",2025-09-13T21:02:21.103431,238859,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,The Woodleigh Mall,"11 Bidadari Park Dr, #B1-K22,  Singapore 367803",2025-09-13T21:02:21.103431,367803,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,VivoCity,"1 Harbourfront Walk, #B2-K6,  Singapore 098585",2025-09-13T21:02:21.103431,098585,,
1728,Auntie Anne's,Halal Certified,https://www.halaltag.com/place/1728,Waterway Point,"83 Punggol Central, #B1 (East Wing),  Singapore 828761",2025-09-13T21:02:21.103431,828761,,
1176,Abhus Salam Rojak,Halal - Muslim Owned,https://www.halaltag.com/place/1176,Ayer Rajah Food Centre,"503 West Coast Drive, #01-73,  Singapore 120503",2025-09-13T21:02:21.743053,120503,,
354,All Good Gourmet,Halal Certified,https://www.halaltag.com/place/354,NEX Mall,"23 Serangoon Central, #B2-49,  Singapore 556083",2025-09-13T21:02:22.419303,556083,,
1968,A. R. Rahman,Halal - Muslim Owned,https://www.halaltag.com/place/1968,Bukit Merah (Others),"Blk 119 Bukit Merah Lane 1, Singapore 151119",2025-09-13T21:02:23.107990,151119,,
1834,Anjanimann Briyani Dam,Halal - Muslim Owned,https://www.halaltag.com/place/1834,Geylang (Others),"586 Geylang Road Lor 34, Singapore 389525",2025-09-13T21:02:23.746570,389525,,
